Time,force_x,force_y,force_z
3.554,53.70545770364394,0.18428063347705698,55.151561786313806
3.555,53.7142477924184,0.18451516225803702,55.1626498096382
3.556,53.7230435496323,0.184748281928127,55.173738411747564
3.557,53.73184582852724,0.18497999123073008,55.184828371353575
3.558,53.74065548561206,0.18521028791362634,55.195920470492254
3.559,53.74947338044988,0.1854391707664597,55.2070154943453
3.56,53.758300375144366,0.1856666387227107,55.218114230711635
3.561,53.767137334055874,0.18589268979437298,55.22921746978557
3.562,53.77598512362633,0.18611732247709023,55.240326003962
3.563,53.784844611799976,0.18634053485500104,55.25144062731344
3.564,53.79371666778432,0.18656232622472418,55.26256213535065
3.565,53.802602161626254,0.1867826940437141,55.27369132461446
3.566,53.811501964109986,0.18700163712350493,55.28482899262414
3.567,53.82041694608492,0.18721915315772714,55.29597593720197
3.568,53.82934797830279,0.18743524088257277,55.307132956339245
3.569,53.83829593107658,0.1876498982984944,55.31830084788524
3.57,53.84726167386957,0.18786312351659085,55.3294804091468
3.571,53.85624607500605,0.1880749149097724,55.34067243664822
3.572,53.865250001289105,0.18828527036025455,55.35187772574254
3.573,53.874274317574105,0.18849418842001175,55.36309707023166
3.574,53.88331988659329,0.18870166619868253,55.37433126221704
3.575,53.8923875685406,0.18890770244979527,55.38558109167971
3.576,53.90147822067131,0.1891122951057587,55.39684734616078
3.577,53.910592696932056,0.1893154413629762,55.40813081036991
3.578,53.91973184782584,0.1895171399090169,55.41943226609922
3.579,53.928896519779244,0.18971738840909474,55.43075249161748
3.58,53.938087555068876,0.1899161844480133,55.44209226161934
3.581,53.94730579131215,0.19011352631654252,55.45345234674453
3.582,53.95655206109776,0.1903094115373001,55.46483351325175
3.583,53.965827191862665,0.19050383742520366,55.476236522912615
3.584,53.975132005301475,0.19069680175101605,55.48766213244346
3.585,53.98446731727446,0.19088830271057988,55.499111093467064
3.586,53.99383393719906,0.19107833777680566,55.51058415191356
3.587,54.003232667970565,0.19126690425447157,55.522082047987055
3.588,54.01266430556941,0.19145399936608906,55.53360551580499
3.589,54.022129638586776,0.19163962133493,55.54515528293571
3.59,54.03162944804868,0.19182376724720807,55.55673207029359
3.591,54.04116450713819,0.19200643449287388,55.56833659185506
3.592,54.05073558063588,0.1921876210028412,55.579969554158495
3.593,54.060343424942495,0.1923673235407656,55.59163165635594
3.594,54.069988787417756,0.19254553951081618,55.603323589587006
3.595,54.07967240634463,0.19272226616850002,55.61504603697233
3.596,54.08939501051965,0.19289750138151948,55.62679967325177
3.597,54.09915731881997,0.19307124182594507,55.63858516438154
3.598,54.10896004005244,0.19324348468529845,55.65040316740391
3.599,54.11880387274928,0.193414227184152,55.662254330330114
3.6,54.128689504485834,0.19358346634320722,55.67413929143332
3.601,54.13861761208818,0.19375119954306913,55.68605867954409
3.602,54.148588860908696,0.1939174235862286,55.69801311333981
3.603,54.158603904815564,0.19408213533809213,55.710003201382534
3.604,54.16866338577807,0.1942453322445226,55.72202954174017
3.605,54.178767933599644,0.19440701164649365,55.734092721772086
3.606,54.188918165689586,0.19456716882035843,55.74619331791331
3.607,54.19911468677288,0.19472580193338224,55.7583318954687
3.608,54.20935808851289,0.1948829077500873,55.77050900823507
3.609,54.21964894941596,0.19503848267463372,55.78272519848801
3.61,54.229987834472766,0.19519252351607902,55.794980996629576
3.611,54.24037529500181,0.19534502761059777,55.807276921100595
3.612,54.25081186806958,0.19549599135479606,55.81961347783569
3.613,54.2612980767235,0.19564541094416138,55.831991160544206
3.614,54.271834429331456,0.19579328339121316,55.84441045009329
3.615,54.282421419629,0.19593960571386537,55.85687181459794
3.616,54.2930595262506,0.19608437414495897,55.869375709005226
3.617,54.30374921270309,0.19622758486368577,55.8819225751066
3.618,54.314490926877674,0.19636923512741933,55.89451284109421
3.619,54.32528510115401,0.19650932073390473,55.90714692174312
3.62,54.336132151855104,0.19664783873545877,55.91982521785728
3.621,54.347032479249265,0.1967847853272136,55.9325481163813
3.622,54.35798646723341,0.19692015680211297,55.94531599008383
3.623,54.36899448316757,0.19705395018930794,55.95812919747905
3.624,54.380056877679294,0.1971861610337725,55.97098808265875
3.625,54.391173984313056,0.19731678597422017,55.98389297498434
3.626,54.40234611961351,0.19744582129950694,55.99684418925227
3.627,54.4135735826967,0.19757326369366374,56.00984202529153
3.628,54.424856655075004,0.1976991088828121,56.02288676783931
3.629,54.43619560067059,0.19782335306340534,56.0359786866256
3.63,54.44759066549182,0.1979459922715668,56.04911803607736
3.631,54.45904207732349,0.19806702377528612,56.062305055097056
3.632,54.47055004597329,0.19818644268246152,56.07553996732162
3.633,54.48211476256313,0.19830424567802896,56.08882298049133
3.634,54.493736399914916,0.19842042880242097,56.10215428688531
