time,A_phi_r,A_phi_l,A_trq_r,A_trq_l,A_dist,B_phi_r,B_phi_l,B_trq_r,B_trq_l,B_dist,C_phi_r,C_phi_l,C_trq_r,C_trq_l,C_dist,D_phi_r,D_phi_l,D_trq_r,D_trq_l,D_dist,pos_x,pos_y,pos_z,ori_x,ori_y,ori_z,ori_w,vel_x,vel_y,vel_z,vel_rx,vel_ry,vel_rz,acc_x,acc_y,acc_z
1.035,0.0286508,0.0174312,2.01534,-1.98737,0.112315,0.0710615,0.0636473,2.49548,-2.01864,0.112258,0.0169204,0.00950645,2.04473,-2.02893,0.112253,0.0631367,0.051917,2.72389,-2.23497,0.11231,-0.0300008,6.22394e-08,0.113346,0.000178628,-6.53154e-06,-5.0126e-07,1,-7.9988e-05,1.03379e-06,0.0213879,0.0212934,0.00573606,-0.000158355,0.00370684,0.00342786,-0.177326
1.036,0.0301039,0.0183152,2.01309,-1.99625,0.112336,0.0746654,0.0668752,2.43861,-2.00033,0.112276,0.0177786,0.00998853,2.01383,-2.00353,0.112273,0.0663387,0.0545499,2.67754,-2.21941,0.112334,-0.0300008,6.22376e-08,0.113366,0.00018935,-3.35008e-06,-5.84851e-07,1,-7.65748e-05,9.91809e-07,0.0211081,0.0214446,0.0063629,-0.000168459,0.00347696,0.00356713,-0.279751
1.037,0.0315805,0.0192135,2.05358,-2.04442,0.112358,0.0783276,0.0701551,2.36826,-1.96637,0.112294,0.0186506,0.0104784,2.02792,-2.02481,0.112294,0.0695924,0.0572254,2.58266,-2.16502,0.112358,-0.0300008,6.22357e-08,0.113386,0.000200341,-3.6586e-08,-6.73534e-07,1,-7.2999e-05,9.7297e-07,0.0207548,0.0219817,0.00662696,-0.000178694,0.00357648,0.0037703,-0.353318
1.038,0.0330797,0.0201255,2.0422,-2.05145,0.112378,0.0820461,0.0734856,2.37762,-1.99269,0.112311,0.0195361,0.0109758,2.02245,-2.02496,0.112314,0.0728962,0.059942,2.56919,-2.18121,0.112382,-0.0300008,6.22337e-08,0.113405,0.000211098,3.3825e-06,-7.68406e-07,1,-6.93165e-05,8.86991e-07,0.0204202,0.0215149,0.00683815,-0.000191116,0.00361839,0.00391451,-0.334579
1.039,0.0346011,0.021051,2.05954,-2.08022,0.112399,0.0858193,0.0768651,2.32218,-1.96529,0.112328,0.0204345,0.0114805,2.02977,-2.04024,0.112333,0.0762487,0.0626986,2.52912,-2.16602,0.112405,-0.0300008,6.22316e-08,0.113424,0.000222311,6.99627e-06,-8.68161e-07,1,-6.57536e-05,8.90222e-07,0.0200455,0.0224259,0.00722752,-0.00020096,0.00343094,0.00419839,-0.374721
1.04,0.0361438,0.0219896,2.11163,-2.14973,0.112419,0.0896455,0.080292,2.26401,-1.9355,0.112344,0.0213456,0.0119923,2.0757,-2.09486,0.112353,0.0796482,0.065494,2.41827,-2.09344,0.112428,-0.0300008,6.22294e-08,0.113442,0.000233382,1.05694e-05,-9.7341e-07,1,-6.16287e-05,8.12489e-07,0.0196401,0.0221407,0.00714619,-0.000211931,0.0039261,0.00431199,-0.405399
1.041,0.0377072,0.0229407,2.19991,-2.23439,0.112438,0.0935233,0.0837651,2.03185,-1.74481,0.112359,0.022269,0.012511,2.18304,-2.2043,0.112371,0.0830935,0.068327,2.31009,-1.99846,0.11245,-0.0300008,6.22271e-08,0.11346,0.000246154,1.49137e-05,-1.08298e-06,1,-5.91058e-05,9.62279e-07,0.0190924,0.025544,0.00868856,-0.000220889,0.00224657,0.00470978,-0.547671
1.042,0.0392908,0.0239041,2.25361,-2.3321,0.112457,0.0974509,0.0872829,2.22382,-1.92932,0.112375,0.0232043,0.0130364,2.1693,-2.21237,0.11239,0.0865832,0.0711964,2.28781,-2.02496,0.112473,-0.0300008,6.22247e-08,0.113478,0.000257032,1.86131e-05,-1.19994e-06,1,-5.2458e-05,6.65829e-07,0.0188495,0.0217566,0.00739885,-0.000235433,0.00629166,0.00462158,-0.242918
1.043,0.040894,0.0248794,2.36207,-2.42185,0.112476,0.101427,0.0908441,1.86826,-1.60677,0.112389,0.024151,0.0135683,2.33615,-2.37394,0.112408,0.0901158,0.0741012,2.13797,-1.87966,0.112495,-0.0300008,6.22221e-08,0.113495,0.000269766,2.31458e-05,-1.32204e-06,1,-5.12685e-05,8.2886e-07,0.0183399,0.0254679,0.00906536,-0.000246041,0.000758891,0.00518094,-0.509664
1.044,0.042516,0.0258662,2.47722,-2.57292,0.112493,0.10545,0.0944473,1.61473,-1.38883,0.112402,0.025109,0.0141064,2.49858,-2.54047,0.112426,0.0936903,0.0770404,1.89134,-1.65665,0.112517,-0.0300008,6.22195e-08,0.113511,0.000283551,2.8812e-05,-1.45126e-06,1,-4.76003e-05,8.73006e-07,0.0176186,0.0275709,0.0113324,-0.000260861,0.00314448,0.00519843,-0.721286
