time,force_plate_1_fx,force_plate_1_fy,force_plate_1_fz,force_plate_2_fx,force_plate_2_fy,force_plate_2_fz,force_plate_3_fx,force_plate_3_fy,force_plate_3_fz,force_plate_4_fx,force_plate_4_fy,force_plate_4_fz
0.788,2.9742422788200216e-06,3.706670392874418e-08,55.1242096855009,2.973824416961944e-06,-3.869163511888199e-08,55.11661642411684,-1.3521072638705575e-06,-3.783233442885496e-08,55.13239687119302,-1.3515193904597618e-06,3.782861298901196e-08,55.10843407393419
0.789,2.9742423058731324e-06,3.70667037666054e-08,55.12420968563063,2.9738244436914576e-06,-3.8691635278950885e-08,55.11661642415949,-1.352107237132864e-06,-3.783233424212732e-08,55.13239687131545,-1.3515193634116374e-06,3.782861317566901e-08,55.10843407396034
0.79,2.9742423329610564e-06,3.7066703604105994e-08,55.12420968575094,2.973824470455832e-06,-3.8691635440963936e-08,55.11661642419942,-1.3521072103720277e-06,-3.783233405384706e-08,55.132396871457516,-1.3515193363506898e-06,3.782861336080963e-08,55.108434074031905
0.791,2.9742423600565087e-06,3.7066703443972907e-08,55.12420968576832,2.9738244972441298e-06,-3.869163560288638e-08,55.11661642432355,-1.35210718358457e-06,-3.783233386737334e-08,55.13239687136223,-1.3515193092681987e-06,3.7828613549504035e-08,55.1084340740217
0.792,2.9742423871754273e-06,3.706670328196163e-08,55.12420968586632,2.9738245240312486e-06,-3.869163576730257e-08,55.116616424328086,-1.3521071567823589e-06,-3.783233368207702e-08,55.13239687152078,-1.3515192821537957e-06,3.7828613737339547e-08,55.108434074084954
0.793,2.9742424143183202e-06,3.706670311979341e-08,55.1242096858941,2.973824550865117e-06,-3.869163592554513e-08,55.11661642445695,-1.352107129956855e-06,-3.783233349339204e-08,55.132396871523014,-1.3515192550237065e-06,3.7828613920978195e-08,55.108434074246176
0.794,2.9742424414752638e-06,3.706670295763798e-08,55.12420968591839,2.973824577704335e-06,-3.869163609025453e-08,55.116616424563176,-1.3521071031081976e-06,-3.783233330611581e-08,55.13239687158237,-1.351519227872222e-06,3.782861411115819e-08,55.108434074336145
0.795,2.9742424686703475e-06,3.706670279509662e-08,55.12420968602072,2.9738246045736633e-06,-3.869163625139259e-08,55.11661642458256,-1.352107076237403e-06,-3.7832333117833726e-08,55.13239687156823,-1.3515192006962254e-06,3.782861429776243e-08,55.10843407430313
0.796,2.9742424958828327e-06,3.7066702632538054e-08,55.124209686091774,2.9738246314637305e-06,-3.869163641576021e-08,55.116616424591925,-1.3521070493449523e-06,-3.7832332932225514e-08,55.13239687181631,-1.351519173503632e-06,3.782861448365403e-08,55.108434074403874
0.797,2.9742425231118046e-06,3.7066702471348955e-08,55.12420968607202,2.973824658383078e-06,-3.86916365767542e-08,55.11661642468172,-1.3521070224255066e-06,-3.783233274506898e-08,55.13239687175454,-1.3515191462881237e-06,3.7828614672537745e-08,55.10843407450575
0.798,2.974242550365452e-06,3.706670230838707e-08,55.12420968613682,2.973824685313003e-06,-3.869163674078205e-08,55.116616424822524,-1.3521069954922627e-06,-3.783233255623595e-08,55.13239687174598,-1.351519119044698e-06,3.7828614859528923e-08,55.10843407453446
0.799,2.974242577633696e-06,3.7066702144802216e-08,55.12420968622547,2.9738247122505516e-06,-3.86916369027726e-08,55.116616424778755,-1.3521069685329845e-06,-3.7832332370770095e-08,55.13239687191434,-1.3515190917830875e-06,3.7828615046892135e-08,55.108434074603096
0.8,2.9742426049291666e-06,3.706670198255139e-08,55.12420968626509,2.9738247392374787e-06,-3.869163706516846e-08,55.11661642487783,-1.3521069415550724e-06,-3.7832332183101105e-08,55.13239687195055,-1.3515190645000986e-06,3.782861523267608e-08,55.1084340746402
0.801,2.9742426322490454e-06,3.706670182016212e-08,55.12420968626806,2.9738247662349158e-06,-3.8691637226373916e-08,55.116616424906496,-1.3521069145500611e-06,-3.783233199489568e-08,55.13239687189247,-1.3515190371878541e-06,3.7828615422811286e-08,55.108434074701506
0.802,2.974242659607339e-06,3.7066701658960396e-08,55.12420968641983,2.9738247932545214e-06,-3.8691637389162267e-08,55.11661642491022,-1.3521068875305266e-06,-3.78323318061455e-08,55.132396872064845,-1.3515190098536833e-06,3.782861560832124e-08,55.10843407468276
0.803,2.9742426869614073e-06,3.706670149755422e-08,55.124209686399894,2.9738248202952825e-06,-3.8691637551015096e-08,55.116616425008345,-1.3521068604803516e-06,-3.7832331621020893e-08,55.13239687200327,-1.3515189825041592e-06,3.7828615796161175e-08,55.10843407477236
0.804,2.9742427143342053e-06,3.706670133304692e-08,55.124209686354064,2.973824847368214e-06,-3.869163771725794e-08,55.116616425114216,-1.3521068334100604e-06,-3.783233143214949e-08,55.13239687200105,-1.3515189551420846e-06,3.782861598606755e-08,55.108434074872264
0.805,2.974242741732035e-06,3.7066701171181995e-08,55.12420968641632,2.9738248744508693e-06,-3.869163787775991e-08,55.11661642514818,-1.35210680632199e-06,-3.783233124434153e-08,55.132396872050634,-1.3515189277509771e-06,3.782861617172351e-08,55.108434074945066
0.806,2.9742427691650603e-06,3.706670100716222e-08,55.12420968641443,2.9738249015628795e-06,-3.86916380385788e-08,55.116616425142894,-1.3521067792075462e-06,-3.783233105650975e-08,55.132396872114526,-1.351518900325337e-06,3.782861635828742e-08,55.10843407493232
0.807,2.9742427966025242e-06,3.706670084444589e-08,55.12420968647176,2.9738249286807985e-06,-3.8691638206412265e-08,55.11661642521547,-1.3521067520758527e-06,-3.783233086913526e-08,55.13239687211133,-1.3515188728896442e-06,3.7828616547305016e-08,55.10843407493212
0.808,2.9742428240884893e-06,3.706670068269836e-08,55.12420968656329,2.9738249558513014e-06,-3.8691638366654117e-08,55.11661642530383,-1.3521067249205541e-06,-3.783233068200358e-08,55.1323968721606,-1.3515188454262983e-06,3.782861673462058e-08,55.108434075077284
0.809,2.9742428515815524e-06,3.7066700516701844e-08,55.12420968658938,2.9738249830070387e-06,-3.869163853057913e-08,55.116616425279716,-1.352106697743663e-06,-3.7832330494525545e-08,55.13239687223269,-1.3515188179452274e-06,3.782861692264842e-08,55.10843407501034
0.81,2.9742428790915054e-06,3.706670035449739e-08,55.1242096866459,2.97382501020507e-06,-3.8691638693811116e-08,55.116616425305494,-1.3521066705429363e-06,-3.783233030688461e-08,55.132396872247185,-1.3515187904411511e-06,3.78286171110871e-08,55.1084340750685
